category_key,category_name,collection_date,sku_count,avg_price,min_price,max_price,price_spread,price_index
1,Mystery,2026-08-11,32,31.55,11.14,57.64,46.5,100.0
1,Mystery,2026-08-12,32,31.59,11.24,56.62,45.38,100.12
1,Mystery,2026-08-13,32,31.64,11.2,57.76,46.56,100.26
1,Mystery,2026-08-14,32,31.56,11.24,57.65,46.41,100.03
1,Mystery,2026-08-15,32,31.56,10.92,58.52,47.6,100.01
1,Mystery,2026-08-16,32,31.44,10.79,58.26,47.47,99.62
1,Mystery,2026-08-17,32,31.63,10.77,59.16,48.39,100.24
1,Mystery,2026-08-18,32,31.62,10.87,58.43,47.56,100.2
1,Mystery,2026-08-19,32,31.7,10.84,59.68,48.84,100.45
1,Mystery,2026-08-20,32,31.7,11.03,58.67,47.64,100.45
33,Historical Fiction,2026-08-11,26,33.46,15.91,56.38,40.47,100.0
33,Historical Fiction,2026-08-12,26,33.52,16.2,55.95,39.75,100.18
33,Historical Fiction,2026-08-13,26,33.4,15.9,55.84,39.94,99.82
33,Historical Fiction,2026-08-14,26,33.46,15.56,56.63,41.07,100.0
33,Historical Fiction,2026-08-15,26,33.47,15.83,56.64,40.81,100.04
33,Historical Fiction,2026-08-16,26,33.61,15.93,56.41,40.48,100.47
33,Historical Fiction,2026-08-17,26,33.79,16.02,57.71,41.69,100.99
33,Historical Fiction,2026-08-18,26,33.83,16.18,58.35,42.17,101.11
33,Historical Fiction,2026-08-19,26,33.75,15.99,58.37,42.38,100.87
33,Historical Fiction,2026-08-20,26,33.74,15.83,57.86,42.03,100.85
59,Sequential Art,2026-08-11,75,34.14,10.57,55.51,44.94,100.0
59,Sequential Art,2026-08-12,75,34.17,10.53,56.45,45.92,100.07
59,Sequential Art,2026-08-13,75,34.21,10.22,57.6,47.38,100.2
59,Sequential Art,2026-08-14,75,34.35,10.09,58.81,48.72,100.61
59,Sequential Art,2026-08-15,75,34.5,10.12,58.47,48.35,101.06
59,Sequential Art,2026-08-16,75,34.45,9.91,58.0,48.09,100.89
59,Sequential Art,2026-08-17,75,34.57,9.93,57.58,47.65,101.25
59,Sequential Art,2026-08-18,75,34.55,9.92,57.47,47.55,101.19
59,Sequential Art,2026-08-19,75,34.48,9.94,57.65,47.71,100.98
59,Sequential Art,2026-08-20,75,34.42,10.03,58.11,48.08,100.8
134,Fiction,2026-08-11,65,35.73,10.44,63.06,52.62,100.0
134,Fiction,2026-08-12,65,35.64,10.29,63.06,52.77,99.75
134,Fiction,2026-08-13,65,35.63,10.27,61.86,51.59,99.71
134,Fiction,2026-08-14,65,35.79,10.34,61.63,51.29,100.15
134,Fiction,2026-08-15,65,35.81,10.52,61.36,50.84,100.21
134,Fiction,2026-08-16,65,35.75,10.23,60.48,50.25,100.03
134,Fiction,2026-08-17,65,35.74,10.25,60.03,49.78,100.02
134,Fiction,2026-08-18,65,35.8,10.25,61.59,51.34,100.19
134,Fiction,2026-08-19,65,35.77,10.38,61.36,50.98,100.1
134,Fiction,2026-08-20,65,35.86,10.35,61.44,51.09,100.35
199,Nonfiction,2026-08-11,110,34.11,11.65,60.98,49.33,100.0
199,Nonfiction,2026-08-12,110,34.11,11.58,62.96,51.38,99.99
199,Nonfiction,2026-08-13,110,34.2,11.81,62.97,51.16,100.24
199,Nonfiction,2026-08-14,110,34.19,11.78,62.5,50.72,100.21
199,Nonfiction,2026-08-15,110,34.12,11.52,61.55,50.03,100.01
199,Nonfiction,2026-08-16,110,34.1,11.44,61.09,49.65,99.97
199,Nonfiction,2026-08-17,110,34.14,11.3,60.61,49.31,100.06
199,Nonfiction,2026-08-18,110,34.12,11.28,61.11,49.83,100.03
199,Nonfiction,2026-08-19,110,34.19,11.42,61.14,49.72,100.23
199,Nonfiction,2026-08-20,110,34.12,11.49,61.14,49.65,100.02
309,Young Adult,2026-08-11,54,35.43,10.1,57.63,47.53,100.0
309,Young Adult,2026-08-12,54,35.33,10.03,57.62,47.59,99.73
309,Young Adult,2026-08-13,54,35.36,9.89,58.98,49.09,99.82
309,Young Adult,2026-08-14,54,35.42,9.85,59.0,49.15,99.96
309,Young Adult,2026-08-15,54,35.47,9.89,59.64,49.75,100.12
309,Young Adult,2026-08-16,54,35.36,9.94,60.76,50.82,99.81
309,Young Adult,2026-08-17,54,35.3,9.65,61.12,51.47,99.64
309,Young Adult,2026-08-18,54,35.34,9.82,60.88,51.06,99.75
309,Young Adult,2026-08-19,54,35.39,9.82,60.94,51.12,99.89
309,Young Adult,2026-08-20,54,35.29,9.7,59.18,49.48,99.6
