sku,collection_date,title,category_name,list_price,current_price,available_count,avg_price_7d,avg_price_30d,day_over_day_change,day_over_day_change_pct,week_over_week_change,week_over_week_change_pct,category_price_rank,category_price_percentile,category_sku_count,discount_depth,category_median_price,premium_to_category_median,price_volatility_30d
e00eb4fd7b871a48,2026-08-11,Sharp Objects,Mystery,47.82,46.6,20,46.6,46.6,,,,,8,0.7742,32,0.0255,25.814999999999998,0.8052,
19ed25f4641d5efd,2026-08-11,"In a Dark, Dark Wood",Mystery,19.63,18.7,18,18.7,18.7,,,,,24,0.2581,32,0.0474,25.814999999999998,-0.2756,
5ee94540d0749ea0,2026-08-11,The Past Never Ends,Mystery,56.5,57.64,16,57.64,57.64,,,,,1,1.0,32,-0.0202,25.814999999999998,1.2328,
f733e8c19d40ec2e,2026-08-11,A Murder in Time,Mystery,16.64,16.6,16,16.6,16.6,,,,,27,0.1613,32,0.0024,25.814999999999998,-0.357,
c7b5183f4d1d4efe,2026-08-11,The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,44.1,44.0,15,44.0,44.0,,,,,10,0.7097,32,0.0023,25.814999999999998,0.7044,
3bc89353f7e3a3cc,2026-08-11,The Last Mile (Amos Decker #2),Mystery,54.21,51.96,14,51.96,51.96,,,,,7,0.8065,32,0.0415,25.814999999999998,1.0128,
0c7b9cf2b7662b65,2026-08-11,That Darkness (Gardiner and Renner #1),Mystery,13.92,13.68,14,13.68,13.68,,,,,28,0.129,32,0.0172,25.814999999999998,-0.4701,
2d1e337aaf341858,2026-08-11,Tastes Like Fear (DI Marnie Rome #3),Mystery,10.69,11.14,14,11.14,11.14,,,,,32,0.0,32,-0.0421,25.814999999999998,-0.5685,
4416c474713ec1f5,2026-08-11,A Time of Torment (Charlie Parker #14),Mystery,48.35,46.06,14,46.06,46.06,,,,,9,0.7419,32,0.0474,25.814999999999998,0.7842,
63ee5bc46066a8a8,2026-08-11,A Study in Scarlet (Sherlock Holmes #1),Mystery,16.73,16.78,14,16.78,16.78,,,,,25,0.2258,32,-0.003,25.814999999999998,-0.35,
abdd91e96515a617,2026-08-11,Poisonous (Max Revere Novels #3),Mystery,26.8,26.79,12,26.79,26.79,,,,,15,0.5484,32,0.0004,25.814999999999998,0.0378,
e7fe3bf2768602cf,2026-08-11,Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,54.36,54.51,12,54.51,54.51,,,,,5,0.871,32,-0.0028,25.814999999999998,1.1116,
c039f5aceb093537,2026-08-11,Most Wanted,Mystery,35.28,35.36,12,35.36,35.36,,,,,13,0.6129,32,-0.0023,25.814999999999998,0.3697,
bddc6fd036eb6279,2026-08-11,Hide Away (Eve Duncan #20),Mystery,11.84,12.08,12,12.08,12.08,,,,,30,0.0645,32,-0.0203,25.814999999999998,-0.5321,
49b24c6a41b82bd2,2026-08-11,Boar Island (Anna Pigeon #19),Mystery,59.48,57.09,12,57.09,57.09,,,,,2,0.9677,32,0.0402,25.814999999999998,1.2115,
6159d8b187831770,2026-08-11,The Widow,Mystery,27.26,26.82,11,26.82,26.82,,,,,14,0.5806,32,0.0161,25.814999999999998,0.0389,
05a61a3bd8ca4149,2026-08-11,Playing with Fire,Mystery,13.71,13.05,11,13.05,13.05,,,,,29,0.0968,32,0.0481,25.814999999999998,-0.4945,
9735c969c652dd89,2026-08-11,What Happened on Beale Street (Secrets of the South Mysteries #2),Mystery,25.37,26.3,7,26.3,26.3,,,,,16,0.5161,32,-0.0367,25.814999999999998,0.0188,
20789fb17b423c4c,2026-08-11,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Mystery,52.3,54.36,7,54.36,54.36,,,,,6,0.8387,32,-0.0394,25.814999999999998,1.1058,
4e980425468708da,2026-08-11,Delivering the Truth (Quaker Midwife Mystery #1),Mystery,20.89,21.21,7,21.21,21.21,,,,,21,0.3548,32,-0.0153,25.814999999999998,-0.1784,
2da5edf8b5776c9a,2026-08-11,The Mysterious Affair at Styles (Hercule Poirot #1),Mystery,24.8,25.33,6,25.33,25.33,,,,,17,0.4839,32,-0.0214,25.814999999999998,-0.0188,
6958de044cb28a84,2026-08-11,In the Woods (Dublin Murder Squad #1),Mystery,38.38,37.53,6,37.53,37.53,,,,,12,0.6452,32,0.0221,25.814999999999998,0.4538,
f06039c29b5891fa,2026-08-11,The Silkworm (Cormoran Strike #2),Mystery,23.05,23.87,3,23.87,23.87,,,,,20,0.3871,32,-0.0356,25.814999999999998,-0.0753,
dd003e904727281a,2026-08-11,The Exiled,Mystery,43.45,43.23,3,43.23,43.23,,,,,11,0.6774,32,0.0051,25.814999999999998,0.6746,
1be6d3b121865edb,2026-08-11,The Cuckoo's Calling (Cormoran Strike #1),Mystery,19.21,19.32,3,19.32,19.32,,,,,23,0.2903,32,-0.0057,25.814999999999998,-0.2516,
588ba85ff11a3263,2026-08-11,Extreme Prey (Lucas Davenport #26),Mystery,25.4,23.91,3,23.91,23.91,,,,,19,0.4194,32,0.0587,25.814999999999998,-0.0738,
b461cf238506c5b8,2026-08-11,Career of Evil (Cormoran Strike #3),Mystery,24.72,25.02,3,25.02,25.02,,,,,18,0.4516,32,-0.0121,25.814999999999998,-0.0308,
b0913e67d38d5ed5,2026-08-11,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Mystery,57.7,55.59,1,55.59,55.59,,,,,4,0.9032,32,0.0366,25.814999999999998,1.1534,
4280ac3eab57aa5d,2026-08-11,The Girl You Lost,Mystery,12.29,11.94,1,11.94,11.94,,,,,31,0.0323,32,0.0285,25.814999999999998,-0.5375,
ee61197edb882599,2026-08-11,The Girl In The Ice (DCI Erika Foster #1),Mystery,15.85,16.66,1,16.66,16.66,,,,,26,0.1935,32,-0.0511,25.814999999999998,-0.3546,
95cdfd514098c38b,2026-08-11,Blood Defense (Samantha Brinkman #1),Mystery,20.3,20.74,1,20.74,20.74,,,,,22,0.3226,32,-0.0217,25.814999999999998,-0.1966,
f684a82adc49f011,2026-08-11,1st to Die (Women's Murder Club #1),Mystery,53.98,55.88,1,55.88,55.88,,,,,3,0.9355,32,-0.0352,25.814999999999998,1.1646,
90fa61229261140a,2026-08-11,Tipping the Velvet,Historical Fiction,53.74,55.67,20,55.67,55.67,,,,,2,0.96,26,-0.0359,30.29,0.8379,
9beb96a2300109d7,2026-08-11,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Historical Fiction,29.69,28.99,16,28.99,28.99,,,,,16,0.4,26,0.0236,30.29,-0.0429,
3a6fb983e2554023,2026-08-11,A Flight of Arrows (The Pathfinders #2),Historical Fiction,55.53,56.38,16,56.38,56.38,,,,,1,1.0,26,-0.0153,30.29,0.8613,
9287e238d7c3b06e,2026-08-11,The House by the Lake,Historical Fiction,36.95,36.2,15,36.2,36.2,,,,,10,0.64,26,0.0203,30.29,0.1951,
a40723994f715420,2026-08-11,Mrs. Houdini,Historical Fiction,30.25,29.16,15,29.16,29.16,,,,,15,0.44,26,0.036,30.29,-0.0373,
52cf2a5933ec5d8f,2026-08-11,The Marriage of Opposites,Historical Fiction,28.08,27.27,14,27.27,27.27,,,,,17,0.36,26,0.0288,30.29,-0.0997,
de4b403cb629a29f,2026-08-11,Glory over Everything: Beyond The Kitchen House,Historical Fiction,45.84,43.08,14,43.08,43.08,,,,,6,0.8,26,0.0602,30.29,0.4223,
9546d537fbf99eb6,2026-08-11,"Love, Lies and Spies",Historical Fiction,20.55,19.45,12,19.45,19.45,,,,,23,0.12,26,0.0535,30.29,-0.3579,
63343e287971bb0c,2026-08-11,A Paris Apartment,Historical Fiction,39.01,37.25,12,37.25,37.25,,,,,9,0.68,26,0.0451,30.29,0.2298,
bade9943ee01b63f,2026-08-11,Lilac Girls,Historical Fiction,17.28,15.91,11,15.91,15.91,,,,,26,0.0,26,0.0793,30.29,-0.4747,
24933c712f0bca2f,2026-08-11,The Constant Princess (The Tudor Court #1),Historical Fiction,16.62,17.41,7,17.41,17.41,,,,,24,0.08,26,-0.0475,30.29,-0.4252,
e6635f5b0a2c78db,2026-08-11,The Invention of Wings,Historical Fiction,37.34,38.18,6,38.18,38.18,,,,,8,0.72,26,-0.0225,30.29,0.2605,
2e5b4ff08a75fd02,2026-08-11,World Without End (The Pillars of the Earth #2),Historical Fiction,32.97,30.81,5,30.81,30.81,,,,,13,0.52,26,0.0655,30.29,0.0172,
011674f4a3834b8d,2026-08-11,The Passion of Dolssa,Historical Fiction,28.32,29.77,4,29.77,29.77,,,,,14,0.48,26,-0.0512,30.29,-0.0172,
5eff05e59f905a49,2026-08-11,Girl With a Pearl Earring,Historical Fiction,26.77,26.75,4,26.75,26.75,,,,,20,0.24,26,0.0007,30.29,-0.1169,
7feac4000cbc5859,2026-08-11,Voyager (Outlander #3),Historical Fiction,21.07,20.9,3,20.9,20.9,,,,,21,0.2,26,0.0081,30.29,-0.31,
3c456328b04a8ee8,2026-08-11,The Red Tent,Historical Fiction,35.66,36.19,3,36.19,36.19,,,,,11,0.6,26,-0.0149,30.29,0.1948,
476c7972e9b41891,2026-08-11,The Last Painting of Sara de Vos,Historical Fiction,55.55,54.83,3,54.83,54.83,,,,,3,0.92,26,0.013,30.29,0.8102,
4a0a276409968a73,2026-08-11,The Guernsey Literary and Potato Peel Pie Society,Historical Fiction,49.53,49.42,3,49.42,49.42,,,,,4,0.88,26,0.0022,30.29,0.6316,
41fc5dce044f16f5,2026-08-11,Girl in the Blue Coat,Historical Fiction,46.83,48.8,3,48.8,48.8,,,,,5,0.84,26,-0.0421,30.29,0.6111,
155e42df837ee5ff,2026-08-11,Between Shades of Gray,Historical Fiction,20.79,20.22,3,20.22,20.22,,,,,22,0.16,26,0.0274,30.29,-0.3325,
8ceb5c6aed2c5f8b,2026-08-11,While You Were Mine,Historical Fiction,41.32,42.79,1,42.79,42.79,,,,,7,0.76,26,-0.0356,30.29,0.4127,
38f776ab9118aed7,2026-08-11,The Secret Healer,Historical Fiction,34.56,33.74,1,33.74,33.74,,,,,12,0.56,26,0.0237,30.29,0.1139,
e25164e5b3fe208b,2026-08-11,Starlark,Historical Fiction,25.83,27.15,1,27.15,27.15,,,,,18,0.32,26,-0.0511,30.29,-0.1037,
d510567580c8be52,2026-08-11,Lost Among the Living,Historical Fiction,27.7,27.07,1,27.07,27.07,,,,,19,0.28,26,0.0227,30.29,-0.1063,
19fec36a1dfb4c16,2026-08-11,A Spy's Devotion (The Regency Spies of London #1),Historical Fiction,16.97,16.49,1,16.49,16.49,,,,,25,0.04,26,0.0283,30.29,-0.4556,
3b1c02bac2a429e6,2026-08-11,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,52.29,50.89,19,50.89,50.89,,,,,12,0.8514,75,0.0268,35.54,0.4319,
09555be379ad9253,2026-08-11,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art,16.28,16.19,16,16.19,16.19,,,,,64,0.1486,75,0.0055,35.54,-0.5445,
51653ef291ab7ddc,2026-08-11,This One Summer,Sequential Art,19.49,19.44,16,19.44,19.44,,,,,57,0.2432,75,0.0026,35.54,-0.453,
7d385d34d12e60ff,2026-08-11,The Nameless City (The Nameless City #1),Sequential Art,38.16,39.4,16,39.4,39.4,,,,,28,0.6351,75,-0.0325,35.54,0.1086,
53a3d11bb568cc8b,2026-08-11,"Saga, Volume 5 (Saga (Collected Editions) #5)",Sequential Art,51.04,53.66,16,53.66,53.66,,,,,7,0.9189,75,-0.0513,35.54,0.5098,
c82a3e358c773c73,2026-08-11,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Sequential Art,50.4,47.84,16,47.84,47.84,,,,,18,0.7703,75,0.0508,35.54,0.3461,
0fa6dceead7ce47a,2026-08-11,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Sequential Art,13.61,13.42,16,13.42,13.42,,,,,69,0.0811,75,0.014,35.54,-0.6224,
e80f8e518b300dfe,2026-08-11,"Pop Gun War, Volume 1: Gift",Sequential Art,18.97,18.82,16,18.82,18.82,,,,,59,0.2162,75,0.0079,35.54,-0.4705,
9429b4d59c537af5,2026-08-11,Patience,Sequential Art,10.16,10.57,16,10.57,10.57,,,,,75,0.0,75,-0.0404,35.54,-0.7026,
889139b8e9c4cb36,2026-08-11,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Sequential Art,15.44,15.54,16,15.54,15.54,,,,,65,0.1351,75,-0.0065,35.54,-0.5627,
11809b1d323b3057,2026-08-11,orange: The Complete Collection 1 (orange: The Complete Collection #1),Sequential Art,48.41,47.45,16,47.45,47.45,,,,,19,0.7568,75,0.0198,35.54,0.3351,
460089f796fb3f82,2026-08-11,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Sequential Art,46.91,47.09,16,47.09,47.09,,,,,20,0.7432,75,-0.0038,35.54,0.325,
b6ee99bcf06fc91f,2026-08-11,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Sequential Art,45.61,45.17,16,45.17,45.17,,,,,23,0.7027,75,0.0096,35.54,0.271,
57e5a4d515c8ce44,2026-08-11,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Sequential Art,19.92,19.23,16,19.23,19.23,,,,,58,0.2297,75,0.0346,35.54,-0.4589,
8d4eefad7a2b3915,2026-08-11,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Sequential Art,29.17,30.67,16,30.67,30.67,,,,,47,0.3784,75,-0.0514,35.54,-0.137,
1c89ae5bb804e4de,2026-08-11,I am a Hero Omnibus Volume 1,Sequential Art,54.63,54.61,16,54.61,54.61,,,,,5,0.9459,75,0.0004,35.54,0.5366,
f2df3bb043a8abb0,2026-08-11,"Giant Days, Vol. 2 (Giant Days #5-8)",Sequential Art,22.11,21.75,16,21.75,21.75,,,,,55,0.2703,75,0.0163,35.54,-0.388,
09b6cc87e62c2c58,2026-08-11,Danganronpa Volume 1,Sequential Art,51.99,54.3,16,54.3,54.3,,,,,6,0.9324,75,-0.0444,35.54,0.5279,
8754c83ab2a7ae71,2026-08-11,"Codename Baboushka, Volume 1: The Conclave of Death",Sequential Art,36.72,35.45,16,35.45,35.45,,,,,39,0.4865,75,0.0346,35.54,-0.0025,
7b599c8bfcdd8d30,2026-08-11,Camp Midnight,Sequential Art,17.08,17.76,16,17.76,17.76,,,,,62,0.1757,75,-0.0398,35.54,-0.5003,
bdf415fd484ea8a7,2026-08-11,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Sequential Art,37.92,38.9,16,38.9,38.9,,,,,31,0.5946,75,-0.0258,35.54,0.0945,
d6361d16212664ed,2026-08-11,The Shadow Hero (The Shadow Hero),Sequential Art,33.14,32.74,15,32.74,32.74,,,,,43,0.4324,75,0.0121,35.54,-0.0788,
65d034adf80834b7,2026-08-11,"Fables, Vol. 1: Legends in Exile (Fables #1)",Sequential Art,41.62,41.62,15,41.62,41.62,,,,,26,0.6622,75,0.0,35.54,0.1711,
7edc0527cf782e19,2026-08-11,Batman: The Long Halloween (Batman),Sequential Art,36.5,34.36,15,34.36,34.36,,,,,41,0.4595,75,0.0586,35.54,-0.0332,
47271d8e08b5d31c,2026-08-11,Batman: The Dark Knight Returns (Batman),Sequential Art,15.38,15.35,15,15.35,15.35,,,,,66,0.1216,75,0.002,35.54,-0.5681,
047097293bb4d1c0,2026-08-11,"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",Sequential Art,37.34,37.72,14,37.72,37.72,,,,,35,0.5405,75,-0.0102,35.54,0.0613,
92275cedf6d8ee15,2026-08-11,"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",Sequential Art,53.9,49.83,14,49.83,49.83,,,,,14,0.8243,75,0.0755,35.54,0.4021,
6e44bcbeac7f4360,2026-08-11,Through the Woods,Sequential Art,25.38,25.8,14,25.8,25.8,,,,,51,0.3243,75,-0.0165,35.54,-0.2741,
ac8e3949d284e9a9,2026-08-11,Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),Sequential Art,11.89,12.28,14,12.28,12.28,,,,,70,0.0676,75,-0.0328,35.54,-0.6545,
394f6d30cafc3edb,2026-08-11,"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",Sequential Art,35.43,34.51,14,34.51,34.51,,,,,40,0.473,75,0.026,35.54,-0.029,
85b2176b3b194030,2026-08-11,Robin War,Sequential Art,47.82,46.09,14,46.09,46.09,,,,,22,0.7162,75,0.0362,35.54,0.2968,
31e2e2d9cca3778f,2026-08-11,"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",Sequential Art,25.48,25.19,14,25.19,25.19,,,,,52,0.3108,75,0.0114,35.54,-0.2912,
71e36f33981ddb74,2026-08-11,"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",Sequential Art,38.39,37.39,14,37.39,37.39,,,,,36,0.527,75,0.026,35.54,0.0521,
a10c7515834240f3,2026-08-11,Lowriders to the Center of the Earth (Lowriders in Space #2),Sequential Art,51.51,52.15,14,52.15,52.15,,,,,10,0.8784,75,-0.0124,35.54,0.4674,
27c5968fe43cc06e,2026-08-11,El Deafo,Sequential Art,57.62,54.62,14,54.62,54.62,,,,,4,0.9595,75,0.0521,35.54,0.5369,
bf68dcb5fad3cc8c,2026-08-11,Batman: Europa,Sequential Art,32.01,29.69,14,29.69,29.69,,,,,48,0.3649,75,0.0725,35.54,-0.1646,
ffdc825785c0ede8,2026-08-11,Art Ops Vol. 1,Sequential Art,48.8,50.63,14,50.63,50.63,,,,,13,0.8378,75,-0.0375,35.54,0.4246,
5319169a72714c62,2026-08-11,"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",Sequential Art,10.9,10.84,14,10.84,10.84,,,,,73,0.027,75,0.0055,35.54,-0.695,
97187f5cf0385da3,2026-08-11,"Fruits Basket, Vol. 9 (Fruits Basket #9)",Sequential Art,33.95,32.9,9,32.9,32.9,,,,,42,0.4459,75,0.0309,35.54,-0.0743,
aeb51dfbe8aeec59,2026-08-11,Roller Girl,Sequential Art,14.1,13.46,8,13.46,13.46,,,,,68,0.0946,75,0.0454,35.54,-0.6213,
de6d7645f192d517,2026-08-11,"Fruits Basket, Vol. 7 (Fruits Basket #7)",Sequential Art,19.57,18.71,7,18.71,18.71,,,,,60,0.2027,75,0.0439,35.54,-0.4736,
97258f576d4bb672,2026-08-11,"Fruits Basket, Vol. 6 (Fruits Basket #6)",Sequential Art,20.96,21.01,6,21.01,21.01,,,,,56,0.2568,75,-0.0024,35.54,-0.4088,
6e06d0f00f6da20f,2026-08-11,"Death Note, Vol. 6: Give-and-Take (Death Note #6)",Sequential Art,36.39,37.75,6,37.75,37.75,,,,,34,0.5541,75,-0.0374,35.54,0.0622,
3fd83dcf37bf1bc0,2026-08-11,"Fruits Basket, Vol. 5 (Fruits Basket #5)",Sequential Art,16.33,17.17,5,17.17,17.17,,,,,63,0.1622,75,-0.0514,35.54,-0.5169,
1c0a38899c82b60a,2026-08-11,"Death Note, Vol. 5: Whiteout (Death Note #5)",Sequential Art,52.41,48.11,5,48.11,48.11,,,,,17,0.7838,75,0.082,35.54,0.3537,
df53c2948b32bde3,2026-08-11,"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",Sequential Art,27.88,26.35,4,26.35,26.35,,,,,50,0.3378,75,0.0549,35.54,-0.2586,
8fff1084aa085a13,2026-08-11,"Fruits Basket, Vol. 4 (Fruits Basket #4)",Sequential Art,50.44,51.43,4,51.43,51.43,,,,,11,0.8649,75,-0.0196,35.54,0.4471,
a33ed2e6068df53e,2026-08-11,"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",Sequential Art,14.41,13.51,3,13.51,13.51,,,,,67,0.1081,75,0.0625,35.54,-0.6199,
91eb9605998a7c03,2026-08-11,"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",Sequential Art,55.55,55.51,3,55.51,55.51,,,,,1,1.0,75,0.0007,35.54,0.5619,
7b870bf85d01c2dc,2026-08-11,"Saga, Volume 3 (Saga (Collected Editions) #3)",Sequential Art,21.57,22.23,3,22.23,22.23,,,,,53,0.2973,75,-0.0306,35.54,-0.3745,
